ID,TITULO,INFOS,VALOR,LOCAL,DATA_ANUNCIO,LINK,DATA_COLETA_METADADOS,DATA_COLETA_COMPLETA,UF,Ano
1028177835,Verde - se Micro ônibus/Volare ,200.000 km  |  Câmbio: Manual  |  Diesel  |  ,R$ 35.000,"Aparecida de Goiânia, Setor Conde dos Arcos Complemento - DDD 62","Hoje, 19:06",https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/verde-se-micro-onibus-volare-1028177835,2022-05-04,,go,
1023617313,Fiat Toro Freedom 2018,54.500 km  |  Câmbio: Automático  |  Flex  |  ,R$ 94.000,"Goiânia, Jardim Guanabara II - DDD 62","Hoje, 19:06",https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/fiat-toro-freedom-2018-1023617313,2022-05-04,,go,
914405513,VW Jetta Comfortline 250 TSI 1.4 18/18 46.000 Km Ipva 2021 Pago,46.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 108.900,"Goiânia, Jardim América - DDD 62","Hoje, 19:05",https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/vw-jetta-comfortline-250-tsi-1-4-18-18-46-000-km-ipva-2021-pago-914405513,2022-05-04,,go,
1011913223,Mercedes-benz Gla 200 1.6 Cgi Advance 7g-dct,71.521 km  |  Câmbio: Automático  |  Flex  |  ,R$ 149.900,"Anápolis, Setor Sul Jamil Miguel - DDD 62","Hoje, 19:05",https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/mercedes-benz-gla-200-1-6-cgi-advance-7g-dct-1011913223,2022-05-04,,go,
1003252097,XC60 2013/2014 3.0 T6 RD AWD TURBO GASOLINA 4P AUTOMÁTICO,78.000 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 129.800,"Goiânia, Setor Aeroporto - DDD 62","Hoje, 19:05",https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/xc60-2013-2014-3-0-t6-rd-awd-turbo-gasolina-4p-automatico-1003252097,2022-05-04,,go,
1028177238,Toyota Corolla,4.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 125.900,Mara Rosa - DDD 62,"Hoje, 19:04",https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-1028177238,2022-05-04,,go,
1028177240, Carro completo 2.0 flex  excelente pego xt 660  ,86.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 30.000,"Aparecida de Goiânia, Parque Veiga Jardim - DDD 62","Hoje, 19:04",https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/carro-completo-2-0-flex-excelente-pego-xt-660-1028177240,2022-05-04,,go,
1028177215,"Ford Fusion 2.5 SEL com Teto Solar,Veiculo com Laudo Aprovado,Aceitamos Troca! Urgente!",0 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 45.990,"Goiânia, Setor Central - DDD 62","Hoje, 19:04",https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/ford-fusion-2-5-sel-com-teto-solar-veiculo-com-laudo-aprovado-aceitamos-troca-urgente-1028177215,2022-05-04,,go,
1028177193,C4 Hatch 1.6 Flex Manual 11/12,120.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 25.500,"Trindade, Setor Maysa - DDD 62","Hoje, 19:04",https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/c4-hatch-1-6-flex-manual-11-12-1028177193,2022-05-04,,go,
1026799144,PAJERO DAKAR 3.2 HPE 4X4  7 LUG TURBO INTERCOOLER DIESEL 4P,111.135 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 213.900,"Goiânia, Jardim Goiás - DDD 62","Hoje, 19:03",https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/pajero-dakar-3-2-hpe-4x4-7-lug-turbo-intercooler-diesel-4p-1026799144,2022-05-04,,go,
1020333810,spim premier 7 lugares automatica 2020/2021,43.673 km  |  Câmbio: Automático  |  Flex  |  ,R$ 98.990,"Anápolis, Vila Dona Maria - DDD 62","Hoje, 19:03",https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/spim-premier-7-lugares-automatica-2020-2021-1020333810,2022-05-04,,go,
1028176946,Creta Prestigie 2.0 19/20,76.000 km  |  Câmbio: Automático  |  ,R$ 108.000,"Anápolis, JK Nova Capital - DDD 62","Hoje, 19:03",https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/creta-prestigie-2-0-19-20-1028176946,2022-05-04,,go,
1028176937,Punto Attractive 1.4 Itália 12/13,151.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 29.990,"Goiânia, Setor Negrão de Lima - DDD 62","Hoje, 19:03",https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/punto-attractive-1-4-italia-12-13-1028176937,2022-05-04,,go,
1026356738,Toyota corola Gli 1.8 aut 2013,1 km  |  Câmbio: Automático  |  Flex  |  ,R$ 64.900,"Goiânia, Setor Aeroporto - DDD 62","Hoje, 19:03",https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/toyota-corola-gli-1-8-aut-2013-1026356738,2022-05-04,,go,
1022804937,Frontier  2.3 16V Turbo Diesel  Attack CD 4X4 Automatico ,32.000 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 195.900,"Goiânia, Setor Bueno - DDD 62","Hoje, 19:03",https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/frontier-2-3-16v-turbo-diesel-attack-cd-4x4-automatico-1022804937,2022-05-04,,go,
