ID,TITULO,INFOS,VALOR,LOCAL,DATA_ANUNCIO,LINK,DATA_COLETA_METADADOS,DATA_COLETA_COMPLETA,UF,Ano
981004908,"HB20 1.0 COMFORT PLUS 2015 , EXTRA ! ",84.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 49.890,"Fortaleza, Guararapes - DDD 85","Hoje, 21:05",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hb20-1-0-comfort-plus-2015-extra-981004908,2022-05-04,,ce,2015
1003283091,Gm-tracker ltz 1.0 turbo completo 2021 aut com apenas 3.000km azul,3.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 126.900,"Fortaleza, Engenheiro Luciano Cavalcante - DDD 85","Hoje, 21:05",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gm-tracker-ltz-1-0-turbo-completo-2021-aut-com-apenas-3-000km-azul-1003283091,2022-05-04,,ce,2021
993020098,"tcross highline 1,4 250 tsi 2022",5.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 144.900,"Fortaleza, Papicu - DDD 85","Hoje, 21:05",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/tcross-highline-1-4-250-tsi-2022-993020098,2022-05-04,,ce,2022
979376105,Voyage  1.6 Completo 20/21 Flex Manual.,45.066 km  |  Câmbio: Manual  |  Flex  |  ,R$ 68.900,"Fortaleza, Parquelândia - DDD 85","Hoje, 21:04",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/voyage-1-6-completo-20-21-flex-manual-979376105,2022-05-04,,ce,2021
955796829,Nivus Comfortline- ,0 km  |  Câmbio: Automático  |  Flex  |  ,R$ 0,"Fortaleza, Tauape - DDD 85","Hoje, 21:03",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/nivus-comfortline-955796829,2022-05-04,,ce,2022
1012941603,Jeep Renegade 1.3 T270 Trailhawk 4WD 2022 Flex,0 km  |  Câmbio: Automático  |  Flex  |  ,R$ 169.900,"Fortaleza, Parquelândia - DDD 85","Hoje, 21:02",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-1-3-t270-trailhawk-4wd-2022-flex-1012941603,2022-05-04,,ce,2022
968167481,Range rover Sport HSE diesel  oportunidade abaixo da fipe ,72.000 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 319.900,"Fortaleza, Dionisio Torres - DDD 85","Hoje, 21:02",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/range-rover-sport-hse-diesel-oportunidade-abaixo-da-fipe-968167481,2022-05-04,,ce,2016
937932707,HILUX SRX 2.8 4x4 DIESEL 2021 3.000 km,3.000 km  |  Câmbio: Automático  |  Diesel  |  ,,"Fortaleza, Salinas - DDD 85","Hoje, 21:02",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hilux-srx-2-8-4x4-diesel-2021-3-000-km-937932707,2022-05-04,,ce,2021
1013986011,HB20 COMFORT 2014 1.0 EXTRA (ÚNICO DONO),61.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 49.900,"Fortaleza, Salinas - DDD 85","Hoje, 21:01",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hb20-comfort-2014-1-0-extra-unico-dono-1013986011,2022-05-04,,ce,2014
1028209192,HB20 1.0 SENSE 2022 (único dono),32.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 63.900,"Fortaleza, Barra do Ceará - DDD 85","Hoje, 21:01",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hb20-1-0-sense-2022-unico-dono-1028209192,2022-05-04,,ce,2022
954634761,HILUX SRX 4x4 DIESEL 2019 EXTRA,66.000 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 265.900,"Fortaleza, Salinas - DDD 85","Hoje, 21:01",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hilux-srx-4x4-diesel-2019-extra-954634761,2022-05-04,,ce,2019
1002277096,FORD KA 1.5 15/15,69.400 km  |  Câmbio: Manual  |  Flex  |  ,R$ 41.990,"Fortaleza, Aldeota - DDD 85","Hoje, 21:01",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-1-5-15-15-1002277096,2022-05-04,,ce,2015
1021783166,VOYAGE 2016/2017 1.6 MSI TOTALFLEX COMFORTLINE 4P MANUAL,89.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 49.900,"Fortaleza, Mondubim - DDD 85","Hoje, 21:01",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/voyage-2016-2017-1-6-msi-totalflex-comfortline-4p-manual-1021783166,2022-05-04,,ce,2017
1010274915,CRETA 2018 ATITUDE MEC EXTRA ,50.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 79.000,"Fortaleza, Demócrito Rocha - DDD 85","Hoje, 21:01",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/creta-2018-atitude-mec-extra-1010274915,2022-05-04,,ce,2018
1012519805,Siena el 1.0 completo extra ,96.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 29.500,"Fortaleza, Amadeu Furtado - DDD 85","Hoje, 21:00",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/siena-el-1-0-completo-extra-1012519805,2022-05-04,,ce,2012
1028208652,S10 LTZ 2020 NOVÍSSIMA !!!!!,56.000 km  |  Câmbio: Automático  |  Diesel  |  ,,"Fortaleza, Edson Queiroz - DDD 85","Hoje, 20:59",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/s10-ltz-2020-novissima-1028208652,2022-05-04,,ce,2020
1026999417,Vendo Corolla xei 2017 muito novo !,103.102 km  |  Câmbio: Automático  |  Flex  |  ,R$ 89.990,"Fortaleza, Tauape - DDD 85","Hoje, 20:59",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/vendo-corolla-xei-2017-muito-novo-1026999417,2022-05-04,,ce,
959002220,Corolla gli 1.8 automático ,57.356 km  |  Câmbio: Automático  |  Flex  |  ,R$ 98.900,"Fortaleza, Guararapes - DDD 85","Hoje, 20:58",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/corolla-gli-1-8-automatico-959002220,2022-05-04,,ce,2019
1016942876,SRV 3.0 diesel 2012 automatica ,180.000 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 143.000,"Fortaleza, Jóquei Clube - DDD 85","Hoje, 20:58",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/srv-3-0-diesel-2012-automatica-1016942876,2022-05-04,,ce,2012
997880904,Tucson 2016 gls blindado automática completa ,92.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 69.000,"Fortaleza, Amadeu Furtado - DDD 85","Hoje, 20:58",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/tucson-2016-gls-blindado-automatica-completa-997880904,2022-05-04,,ce,2016
1003767930,Peugeot 208 Grife - 1.6 Flex ,69.400 km  |  Câmbio: Automático  |  Flex  |  ,R$ 54.990,"Fortaleza, Papicu - DDD 85","Hoje, 20:57",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/peugeot-208-grife-1-6-flex-1003767930,2022-05-04,,ce,2016
975946031,Ônix plus Joy BLACK 2020 extra ,40.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 66.900,"Fortaleza, Salinas - DDD 85","Hoje, 20:57",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/onix-plus-joy-black-2020-extra-975946031,2022-05-04,,ce,2020
1019392375,Fiat Strada 2018 1.4 Hard Working.,79.738 km  |  Câmbio: Manual  |  Flex  |  ,R$ 55.900,"Fortaleza, Demócrito Rocha - DDD 85","Hoje, 20:57",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-strada-2018-1-4-hard-working-1019392375,2022-05-04,,ce,
950763541,Nissan Frontier Attack 2022 (ZERO KM),0 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 235.000,"Fortaleza, Aldeota - DDD 85","Hoje, 20:57",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/nissan-frontier-attack-2022-zero-km-950763541,2022-05-04,,ce,2022
751722962,Logan 1.0 Versoes a parti de R$ 84.990 *oportunidade,0 km  |  Câmbio: Automático  |  Flex  |  ,R$ 84.990,"Fortaleza, Papicu - DDD 85","Hoje, 20:57",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/logan-1-0-versoes-a-parti-de-r-84-990-oportunidade-751722962,2022-05-04,,ce,2023
1024762890,Ford ka 2009 1.0 c Ar Gelando ,1 km  |  Câmbio: Manual  |  Flex  |  ,R$ 15.800,"Fortaleza, Parquelândia - DDD 85","Hoje, 20:57",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-2009-1-0-c-ar-gelando-1024762890,2022-05-04,,ce,2009
1024233843,Ford ranger xls 2.5 4x2 flex,138.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 79.000,"Fortaleza, Aldeota - DDD 85","Hoje, 20:56",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ranger-xls-2-5-4x2-flex-1024233843,2022-05-04,,ce,2014
1028208003,"FUSCA 1986 7500,00",111.111 km  |  Câmbio: Manual  |  Gasolina  |  ,R$ 7.500,"Fortaleza, Demócrito Rocha - DDD 85","Hoje, 20:56",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fusca-1986-7500-00-1028208003,2022-05-04,,ce,
1009862876,ONIX PREMIER 2021 ,13.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 92.900,"Fortaleza, Meireles - DDD 85","Hoje, 20:55",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/onix-premier-2021-1009862876,2022-05-04,,ce,
997794846,VOLKSWAGEN GOL 1.0 MI SPECIAL 8V FLEX 4P MANUAL,392.550 km  |  Câmbio: Manual  |  Flex  |  ,R$ 37.990,"Fortaleza, Fátima - DDD 85","Hoje, 20:55",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-gol-1-0-mi-special-8v-flex-4p-manual-997794846,2022-05-04,,ce,2015
985744911,Compass Sport 2.0 4x2 Aut. 2017,49.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 103.000,"Fortaleza, Salinas - DDD 85","Hoje, 20:54",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/compass-sport-2-0-4x2-aut-2017-985744911,2022-05-04,,ce,2017
