ID,TITULO,INFOS,VALOR,LOCAL,DATA_ANUNCIO,LINK,DATA_COLETA_METADADOS,DATA_COLETA_COMPLETA,UF,Ano
1028347947,A4 Avant 2015 Lava Grey. 58mil km,58.000 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 103.900,"Porto Alegre, Pedra Redonda - DDD 51","Hoje, 09:14",https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/a4-avant-2015-lava-grey-58mil-km-1028347947,2022-05-04,,rs,2015
1028347554,Polo TSI Confortline,41.500 km  |  Câmbio: Automático  |  Flex  |  ,R$ 83.000,Lajeado - DDD 51,"Hoje, 09:13",https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/polo-tsi-confortline-1028347554,2022-05-04,,rs,
997169533,Toyota Corolla Xei 2019,39.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 119.000,"Santa Maria, Nossa Senhora Medianeira - DDD 55","Hoje, 09:13",https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-xei-2019-997169533,2022-05-04,,rs,2019
1028347181,Hyundai HB20 1.0 manual ,90.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 48.000,"Passo Fundo, Centro - DDD 54","Hoje, 09:13",https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-0-manual-1028347181,2022-05-04,,rs,2013
1007697641,VOLKSWAGEN SAVEIRO 1.6 MI HIGHLINE CD 8V FLEX 2P MANUAL,80.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 65.990,"Bento Gonçalves, Cidade Alta - DDD 54","Hoje, 09:12",https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-saveiro-1-6-mi-highline-cd-8v-flex-2p-manual-1007697641,2022-05-04,,rs,2015
1028346306,Ranger xls 2.2 4x4 cd diesel,170.000 km  |  Câmbio: Manual  |  Diesel  |  ,R$ 140.000,"Porto Alegre, Teresópolis - DDD 51","Hoje, 09:11",https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/ranger-xls-2-2-4x4-cd-diesel-1028346306,2022-05-04,,rs,2015
1028346173,Ka Sedan 1.0 SE abaixo da fipe 2017 completo,94.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 45.900,"Sapucaia do Sul, Dihel - DDD 51","Hoje, 09:11",https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/ka-sedan-1-0-se-abaixo-da-fipe-2017-completo-1028346173,2022-05-04,,rs,2017
919086104,Frontier SE 2.5 attack turbo  - agendar visita,179.000 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 99.500,"Canoas, Centro - DDD 51","Hoje, 09:10",https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/frontier-se-2-5-attack-turbo-agendar-visita-919086104,2022-05-04,,rs,2013
947253187,RAV4 2.0 ,97.000 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 92.900,"Caxias do Sul, Kayser - DDD 54","Hoje, 09:10",https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/rav4-2-0-947253187,2022-05-04,,rs,2014
1002333341,Ducato Cargo 2015 TOP,240.000 km  |  Câmbio: Manual  |  Diesel  |  ,R$ 91.900,Montenegro - DDD 51,"Hoje, 09:09",https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/ducato-cargo-2015-top-1002333341,2022-05-04,,rs,2015
1002279096,Pajero 2011 TR4 2.0 Automática,131.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 57.890,"Cachoeirinha, Vila Veranópolis - DDD 51","Hoje, 09:09",https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/pajero-2011-tr4-2-0-automatica-1002279096,2022-05-04,,rs,2011
998644414,Amarok Highline V6,60.000 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 249.900,"Bento Gonçalves, Pomarosa - DDD 54","Hoje, 09:09",https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/amarok-highline-v6-998644414,2022-05-04,,rs,2019
1007984491,DUSTER 2019/2020 1.6 16V SCE FLEX EXPRESSION X-TRONIC,57.035 km  |  Câmbio: Automático  |  Flex  |  ,R$ 79.420,"Pelotas, Centro - DDD 53","Hoje, 09:06",https://rs.olx.com.br/regioes-de-pelotas-rio-grande-e-bage/autos-e-pecas/carros-vans-e-utilitarios/duster-2019-2020-1-6-16v-sce-flex-expression-x-tronic-1007984491,2022-05-04,,rs,2020
1026891040,ECOSPORT 2019/2020 2.0 DIRECT FLEX STORM 4WD AUTOMÁTICO,53.056 km  |  Câmbio: Automático  |  Flex  |  ,R$ 89.590,"Gravataí, Bom Princípio - DDD 51","Hoje, 09:06",https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/ecosport-2019-2020-2-0-direct-flex-storm-4wd-automatico-1026891040,2022-05-04,,rs,2020
1028344443,Carro,178.239 km  |  Câmbio: Manual  |  Gasolina  |  ,R$ 5.500,"Estância Velha, Centro - DDD 51","Hoje, 09:06",https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/carro-1028344443,2022-05-04,,rs,1995
883724993,bmw x3 m,14.300 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 579.900,"Porto Alegre, Petrópolis - DDD 51","Hoje, 09:05",https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/bmw-x3-m-883724993,2022-05-04,,rs,2020
969365464,Mercedes A250,92.000 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 135.000,Boa Vista do Buricá - DDD 55,"Hoje, 09:04",https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/mercedes-a250-969365464,2022-05-04,,rs,2015
1024455874,ASX 2018 VERSÃO 4WD 2.0 CVT,78.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 102.000,Ivoti - DDD 51,"Hoje, 09:04",https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/asx-2018-versao-4wd-2-0-cvt-1024455874,2022-05-04,,rs,2018
1000559818,"Duster Dynamique 4x4, aceito trocas",0 km  |  Câmbio: Manual  |  Flex  |  ,R$ 83.900,2 Irmãos - DDD 51,"Hoje, 09:03",https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/duster-dynamique-4x4-aceito-trocas-1000559818,2022-05-04,,rs,2019
978326666,Range Rover Evoque Pura,90.000 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 135.900,"Canoas, Mathias Velho - DDD 51","Hoje, 09:03",https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/range-rover-evoque-pura-978326666,2022-05-04,,rs,2012
1006010723,Suzuki Vitara 4SPORT ALLGRIP 1.4 TB 16V Aut.,38.000 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 140.900,"Porto Alegre, Teresópolis - DDD 51","Hoje, 09:01",https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/suzuki-vitara-4sport-allgrip-1-4-tb-16v-aut-1006010723,2022-05-04,,rs,2020
963761288,Jeep Renegade Longitude 2.0 4x4 TB Diesel Aut,8.000 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 159.900,"Porto Alegre, Teresópolis - DDD 51","Hoje, 09:01",https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-longitude-2-0-4x4-tb-diesel-aut-963761288,2022-05-04,,rs,2021
991868793,Honda CITY CITY Sedan EX 1.5 Flex 16V 4p Aut.,19.837 km  |  Câmbio: Automático  |  Flex  |  ,R$ 96.790,"Porto Alegre, São João - DDD 51","Hoje, 09:00",https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/honda-city-city-sedan-ex-1-5-flex-16v-4p-aut-991868793,2022-05-04,,rs,2020
979029971,Toyota Hilux CD 4x4 SRV,188.000 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 164.800,Encantado - DDD 51,"Hoje, 09:00",https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/toyota-hilux-cd-4x4-srv-979029971,2022-05-04,,rs,
1021128583,Vw Fox Highline 1.6 I-Motion,53.000 km  |  Câmbio: Semi-Automático  |  Flex  |  ,R$ 43.000,"Cruz Alta, Perpétuo Socorro - DDD 55","Hoje, 09:00",https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/vw-fox-highline-1-6-i-motion-1021128583,2022-05-04,,rs,2014
1021841004,Passat Highline 2018 ,37.000 km  |  ,R$ 165.000,São Miguel das Missões - DDD 55,"Hoje, 08:58",https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/passat-highline-2018-1021841004,2022-05-04,,rs,2018
1023321578,Ford Fiesta Titanium Plus - Excelente estado,90.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 64.000,"Caxias do Sul, Jardim das Hortências - DDD 54","Hoje, 08:58",https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/ford-fiesta-titanium-plus-excelente-estado-1023321578,2022-05-04,,rs,2016
