ID,TITULO,INFOS,VALOR,LOCAL,DATA_ANUNCIO,LINK,DATA_COLETA_METADADOS,DATA_COLETA_COMPLETA,UF,Ano
1015110862,Fiat Idea Essence 1.6 16V E.TorQ Dualogic (Flex),100.440 km  |  Câmbio: Automático  |  Flex  |  ,R$ 33.990,"Brasília, Zona Industrial (Guará) - DDD 61","Hoje, 21:33",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-idea-essence-1-6-16v-e-torq-dualogic-flex-1015110862,2022-05-04,,df,2012
975385575,ONIX 2019/2019 1.0 MPFI JOY 8V FLEX 4P MANUAL,89.349 km  |  Câmbio: Manual  |  Flex  |  ,R$ 53.120,"Brasília, Areal (Águas Claras) - DDD 61","Hoje, 21:33",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/onix-2019-2019-1-0-mpfi-joy-8v-flex-4p-manual-975385575,2022-05-04,,df,2019
933985591,ECOSPORT 2019/2020 2.0 DIRECT FLEX STORM 4WD AUTOMÁTICO,50.705 km  |  Câmbio: Automático  |  Flex  |  ,R$ 89.590,"Brasília, Areal (Águas Claras) - DDD 61","Hoje, 21:33",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ecosport-2019-2020-2-0-direct-flex-storm-4wd-automatico-933985591,2022-05-04,,df,2020
975386254,RENEGADE 2019/2020 1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO,55.309 km  |  Câmbio: Automático  |  Flex  |  ,R$ 94.990,"Brasília, Areal (Águas Claras) - DDD 61","Hoje, 21:33",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/renegade-2019-2020-1-8-16v-flex-longitude-4p-automatico-975386254,2022-05-04,,df,2020
921043903,VW Fox GII 1.0 2013/2013 (com direção hidráulica) ,107.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 29.900,"Brasília, Setor de Habitações Individuais Norte - DDD 61","Hoje, 21:32",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/vw-fox-gii-1-0-2013-2013-com-direcao-hidraulica-921043903,2022-05-04,,df,2013
1012026930,CHEVROLET S10 2.4 LS 4X2 CD 8V FLEX 4P MANUAL,117.136 km  |  Câmbio: Manual  |  Flex  |  ,R$ 79.900,"Brasília, Zona Industrial (Guará) - DDD 61","Hoje, 21:32",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-s10-2-4-ls-4x2-cd-8v-flex-4p-manual-1012026930,2022-05-04,,df,2013
1017670863,CHEVROLET TRACKER 1.4 16V TURBO FLEX LT AUTOMÁTICO,79.725 km  |  Câmbio: Automático  |  Flex  |  ,R$ 86.900,"Brasília, Zona Industrial (Guará) - DDD 61","Hoje, 21:32",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-tracker-1-4-16v-turbo-flex-lt-automatico-1017670863,2022-05-04,,df,2017
1028222985,Fiat uno vivace ,130.393 km  |  Câmbio: Manual  |  Flex  |  ,R$ 10.000,"Novo Gama, Parque Estrela Dalva VI (Pedregal) - DDD 61","Hoje, 21:31",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-vivace-1028222985,2022-05-04,,df,2012
1028222946,Hb20 Confort Plus 1.6 2013 Manual,121.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 13.000,"Brasília, Ceilândia Norte (Ceilândia) - DDD 61","Hoje, 21:31",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hb20-confort-plus-1-6-2013-manual-1028222946,2022-05-04,,df,1950 ou anterior
1017762178,SPIN 2015/2016 1.8 LTZ 8V FLEX 4P AUTOMÁTICO,143.954 km  |  Câmbio: Automático  |  Flex  |  ,R$ 63.900,"Brasília, Sobradinho - DDD 61","Hoje, 21:30",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/spin-2015-2016-1-8-ltz-8v-flex-4p-automatico-1017762178,2022-05-04,,df,2016
1014713087,HYUNDAI IX35 2.0 MPFI GL 16V FLEX 4P AUTOMÁTICO,47.431 km  |  Câmbio: Automático  |  Flex  |  ,R$ 118.900,"Brasília, Zona Industrial (Guará) - DDD 61","Hoje, 21:30",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hyundai-ix35-2-0-mpfi-gl-16v-flex-4p-automatico-1014713087,2022-05-04,,df,2020
1028222735,Renault master 2.3 executive l3 h2 16l ,105.949 km  |  Câmbio: Manual  |  Diesel  |  ,R$ 220.000,"Brasília, Taguatinga Sul (Taguatinga) - DDD 61","Hoje, 21:30",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/renault-master-2-3-executive-l3-h2-16l-1028222735,2022-05-04,,df,2021
1024034117,Palio 2014 - ar ,70.000 km  |  Câmbio: Manual  |  Gasolina  |  ,R$ 28.900,"Brasília, Taguatinga Sul (Taguatinga) - DDD 61","Hoje, 21:30",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/palio-2014-ar-1024034117,2022-05-04,,df,2014
1023995835,Vendo corsa 2006 19.900,120.000 km  |  Câmbio: Manual  |  Gasolina  |  ,R$ 19.900,"Brasília, Taguatinga Sul (Taguatinga) - DDD 61","Hoje, 21:29",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/vendo-corsa-2006-19-900-1023995835,2022-05-04,,df,2006
1028222066,FORD/NEW FIESTA HATCH 1.6 SE AUTOMATICO 2014 NOVIÑHO !!! ,157 km  |  Câmbio: Automático  |  Flex  |  ,R$ 0,"Brasília, Taguatinga Sul (Taguatinga) - DDD 61","Hoje, 21:29",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-new-fiesta-hatch-1-6-se-automatico-2014-novi-ho--1028222066,2022-05-04,,df,2014
1022159888,Gm S10 Flex Manual ltz - Aceito trocas,110.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 97.900,"Brasília, Taguatinga Norte (Taguatinga) - DDD 61","Hoje, 21:29",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gm-s10-flex-manual-ltz-aceito-trocas-1022159888,2022-05-04,,df,2013
1020721876,FIAT UNO VIVACE CELEBRACION 1.0 FIRE 2016,100.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 35.900,"Brasília, Guará II - DDD 61","Hoje, 21:29",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-vivace-celebracion-1-0-fire-2016-1020721876,2022-05-04,,df,2016
1024519136,gol g4 1.0 completo flex 2010<br>,70.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 13.000,"Águas Lindas de Goiás, Jardim dos Pinheiros - DDD 61","Hoje, 21:29",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gol-g4-1-0-completo-flex-2010-br-1024519136,2022-05-04,,df,2010
1024511796,gol g4 1.0 completo flex 2010<br>,60.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 13.000,"Águas Lindas de Goiás, Jardim dos Pinheiros - DDD 61","Hoje, 21:29",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gol-g4-1-0-completo-flex-2010-br-1024511796,2022-05-04,,df,2010
989422374,Tracker 1.4 Turbo Premier ,55.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 93.990,"Brasília, Zona Industrial (Guará) - DDD 61","Hoje, 21:29",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/tracker-1-4-turbo-premier-989422374,2022-05-04,,df,2018
987911587,Ford Ka 1.0 Completo ,51.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 51.990,"Brasília, Zona Industrial (Guará) - DDD 61","Hoje, 21:29",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-1-0-completo-987911587,2022-05-04,,df,2020
1028221347,Gol G5 1.0 2010,95.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 16.500,"Brasília, Samambaia Sul (Samambaia) - DDD 61","Hoje, 21:28",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gol-g5-1-0-2010-1028221347,2022-05-04,,df,2010
1028220662,Ford Focus Hatch ,136.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 50.000,"Brasília, Ceilândia Sul (Ceilândia) - DDD 61","Hoje, 21:27",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-focus-hatch-1028220662,2022-05-04,,df,2014
1028220360,GOLF ALEMÃO ,112.000 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 86.990,"Brasília, Taguatinga Sul (Taguatinga) - DDD 61","Hoje, 21:27",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/golf-alemao-1028220360,2022-05-04,,df,2014
1014206909,Fiat Toro Opening Edition,132.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 86.500,"Brasília, Asa Norte - DDD 61","Hoje, 21:26",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-toro-opening-edition-1014206909,2022-05-04,,df,2017
1006094736,FIELDER 2005/2005 1.8 16V GASOLINA 4P AUTOMÁTICO,215.615 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 37.990,"Brasília, Zona Industrial (Guará) - DDD 61","Hoje, 21:26",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fielder-2005-2005-1-8-16v-gasolina-4p-automatico-1006094736,2022-05-04,,df,2005
994526210,STRADA 2009/2009 1.4 MPI FIRE CE 8V FLEX 2P MANUAL,146.789 km  |  Câmbio: Manual  |  Flex  |  ,R$ 38.990,"Brasília, Zona Industrial (Guará) - DDD 61","Hoje, 21:26",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/strada-2009-2009-1-4-mpi-fire-ce-8v-flex-2p-manual-994526210,2022-05-04,,df,2009
968246274,SPORTAGE 2011/2012 2.0 EX 4X2 16V GASOLINA 4P AUTOMÁTICO,100.086 km  |  Câmbio: Automático  |  Flex  |  ,R$ 69.990,"Brasília, Zona Industrial (Guará) - DDD 61","Hoje, 21:26",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/sportage-2011-2012-2-0-ex-4x2-16v-gasolina-4p-automatico-968246274,2022-05-04,,df,2012
1009934865,SANDERO 2013/2014 1.6 EXPRESSION 8V FLEX 4P MANUAL,121.499 km  |  Câmbio: Manual  |  Flex  |  ,R$ 35.990,"Brasília, Zona Industrial (Guará) - DDD 61","Hoje, 21:26",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/sandero-2013-2014-1-6-expression-8v-flex-4p-manual-1009934865,2022-05-04,,df,2014
1028220065,GOL 1.0 8V 2005 4PTS OTIMO ESTADO !!!,145.226 km  |  Câmbio: Manual  |  Gasolina  |  ,R$ 13.900,"Brasília, Taguatinga Norte (Taguatinga) - DDD 61","Hoje, 21:26",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gol-1-0-8v-2005-4pts-otimo-estado-1028220065,2022-05-04,,df,2005
1027294458,Onix Premier Turbo 1.0 AUT. ,39.886 km  |  Câmbio: Automático  |  Flex  |  ,R$ 83.000,"Brasília, Sobradinho - DDD 61","Hoje, 21:25",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/onix-premier-turbo-1-0-aut-1027294458,2022-05-04,,df,
1017260345,Kia Motors Cerato 2.0 16V EX (Aut) (Flex),0 km  |  Câmbio: Automático  |  Flex  |  ,R$ 129.990,"Brasília, Zona Industrial (Guará) - DDD 61","Hoje, 21:25",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/kia-motors-cerato-2-0-16v-ex-aut-flex-1017260345,2022-05-04,,df,2022
